departamento,municipio,ubicacion,altitud
nariño,ipiales,"(0.81378611, -77.66197778)",2582
nariño,contadero,"(0.93030556, -77.49119444)",2450
nariño,túquerres,"(1.07061111, -77.63688889)",3120
putumayo,mocoa,"(1.08288889, -76.66711111)",760
amazonas,puerto nariño,"(-3.78030556, -70.36263889)",158
amazonas,santander (araracuara),"(-1.35166667, -70.80375)",118
caquetá,solano,"(-0.07416667, -72.45138889)",256
nariño,puerres,"(0.84311111, -77.38880556)",3585
caquetá,florencia (caquetá),"(1.72525, -75.66638889)",600
nariño,cumbitara,"(1.74111111, -77.53111111)",340
nariño,tumaco,"(1.81930556, -78.73027778)",0
huila,pitalito,"(1.84883333, -76.05244444)",1250
nariño,barbacoas,"(1.40863889, -78.28161111)",512
nariño,tumaco,"(1.55019444, -78.69558333)",16
nariño,cumbitara,"(1.62405556, -77.47891667)",380
nariño,tumaco,"(1.42388889, -78.67027778)",2
caquetá,florencia (caquetá),"(1.62116667, -75.61922222)",270
nariño,mallama (piedrancha),"(1.14152778, -77.92897222)",1830
putumayo,mocoa,"(1.15733333, -76.65183333)",650
nariño,pasto,"(1.16, -77.27880556)",2820
nariño,ricaurte (nariño),"(1.21533333, -77.99691667)",1210
cauca,puracé (coconuco),"(2.35684889, -76.40354389)",368
nariño,taminango,"(1.62, -77.34)",1400
cauca,popayán,"(2.47483306, -76.58129361)",1837
huila,san agustín,"(1.87027778, -76.23161111)",1233
huila,san agustín,"(1.92591667, -76.42755556)",1900
huila,saladoblanco,"(2.02158333, -76.11433333)",1919
cauca,balboa (cauca),"(2.03277778, -77.22166667)",1700
cauca,la sierra,"(2.19383333, -76.75033333)",1870
huila,pitalito,"(2.22111111, -76.11888889)",1550
caquetá,san vicente del caguán,"(2.063, -74.76269444)",300
huila,agrado,"(2.23236111, -75.64855556)",688
cauca,argelia (cauca),"(2.31141667, -77.25877778)",1750
cauca,cajibío,"(2.699175, -76.59544444)",1872
cauca,páez (belalcázar),"(2.70555556, -76.02219444)",1900
nariño,pasto,"(1.23, -77.28)",2626
huila,neiva,"(2.75913889, -75.07455556)",2101
huila,neiva,"(2.94261111, -75.30852778)",431
cauca,guapi,"(2.96294444, -78.17436111)",10
cauca,páez (belalcázar),"(2.97772222, -76.06383333)",495
cauca,lópez,"(2.80122222, -77.24102778)",120
huila,neiva,"(2.82744444, -75.08883333)",1280
amazonas,leticia,"(-4.19047222, -69.95027778)",83
bolívar,pinillos,"(8.7, -74.31666667)",23
bolívar,achí,"(8.70308333, -74.51730556)",31
bolívar,achí,"(8.72722222, -74.51222222)",30
bolívar,pinillos,"(8.78333333, -74.33333333)",21
bolívar,altos del rosario,"(8.79444444, -74.16027778)",24
bolívar,pinillos,"(8.8, -74.33333333)",21
bolívar,pinillos,"(8.81666667, -74.31666667)",22
bolívar,altos del rosario,"(8.83055556, -74.17055556)",24
bolívar,pinillos,"(8.86666667, -74.35)",21
bolívar,pinillos,"(8.88333333, -74.45)",20
bolívar,pinillos,"(8.88333333, -74.45)",20
bolívar,san jacinto del cauca,"(8.21944444, -74.72875)",28
bolívar,san jacinto del cauca,"(8.23333333, -74.71666667)",22
bolívar,san jacinto del cauca,"(8.26666667, -74.58333333)",30
sucre,san onofre,"(9.91027778, -75.60055556)",1
bolívar,san jacinto del cauca,"(8.3, -74.58333333)",33
bolívar,montecristo,"(8.3, -74.48333333)",100
bolívar,montecristo,"(8.3, -74.43333333)",80
amazonas,leticia,"(-4.22252778, -69.94272222)",120
bolívar,achí,"(8.57305556, -74.52972222)",10
boyacá,guicán,"(6.50911111, -72.31416667)",4676
boyacá,guicán,"(6.49955556, -72.37613889)",3742
cauca,páez (belalcázar),"(2.52291667, -75.96158333)",1140
cauca,inzá,"(2.54819444, -76.06394444)",1800
cauca,guapi,"(2.57441667, -77.89475)",42
huila,yaguará,"(2.64380556, -75.54430556)",575
huila,baraya,"(3.13305556, -75.08152778)",600
valle del cauca,florida,"(3.31405556, -76.18569444)",1615
valle del cauca,cali,"(3.41605556, -76.6515)",227
valle del cauca,jamundí,"(3.18536111, -76.56930556)",14
caldas,villamaria,"(4.80261111, -75.38047222)",4757
valle del cauca,cali,"(3.378, -76.53388889)",996
valle del cauca,cali,"(3.4255, -76.56061111)",1238
valle del cauca,buenaventura,"(3.92514722, -77.34900556)",18
tolima,espinal,"(4.18813889, -74.96047222)",393
cundinamarca,cabrera (cundinamarca),"(3.99361111, -74.39805556)",2957
tolima,cunday,"(4.01105556, -74.71902778)",450
tolima,roncesvalles,"(4.07580556, -75.70083333)",3394
meta,puerto lópez,"(4.10301944, -72.93638333)",177
tolima,prado,"(3.72519444, -74.82644444)",464
