geo_id,departamento,municipio,altitud,latitud,longitud
91405,amazonas,la-chorrera,146.667,-0.996,-73.252
91407,amazonas,la-pedrera,104.8,-1.381,-69.806
91001,amazonas,leticia,92.25,-4.203,-69.945
91460,amazonas,mirití-paraná-campoamor,115.0,-1.365,-70.715
91530,amazonas,puerto-alegría,135.0,-0.956,-74.025
91536,amazonas,puerto-arica,115.0,-2.147,-71.752
91540,amazonas,puerto-nariño,158.0,-3.78,-70.363
05002,antioquia,abejorral,2450.0,5.786,-75.43
05004,antioquia,abriaquí,1920.0,6.642,-76.075
05021,antioquia,alejandría,1500.5,6.386,-75.098
05031,antioquia,amalfi,1285.0,6.891,-75.038
05034,antioquia,andes,1219.333,5.645,-75.885
05038,antioquia,angostura,1902.5,6.876,-75.357
05040,antioquia,anorí,768.222,7.226,-75.096
05044,antioquia,anzá,488.75,6.355,-75.848
05045,antioquia,apartadó,39.857,7.851,-76.649
05051,antioquia,arboletes,4.5,8.753,-76.439
05059,antioquia,armenia-antioquia,1800.0,6.158,-75.772
05088,antioquia,bello,1831.0,6.35,-75.571
05086,antioquia,belmira,2420.0,6.694,-75.653
05091,antioquia,betania,1550.0,5.728,-75.979
05093,antioquia,betulia-antioquia,395.0,6.214,-75.903
05107,antioquia,briceño-antioquia,949.0,7.086,-75.598
05113,antioquia,buriticá,1024.0,6.798,-75.89
05125,antioquia,caicedo,550.0,6.406,-75.981
05129,antioquia,caldas-antioquia,2041.0,6.049,-75.614
05134,antioquia,campamento,480.0,7.203,-75.319
05145,antioquia,caramanta,1140.333,5.56,-75.636
05147,antioquia,carepa,31.833,7.777,-76.687
05148,antioquia,carmen-de-viboral,2235.0,6.012,-75.309
05150,antioquia,carolina,1770.0,6.7,-75.267
05154,antioquia,caucasia,57.125,7.973,-75.089
05138,antioquia,cañasgordas,1247.0,6.754,-76.032
05172,antioquia,chigorodó,41.714,7.659,-76.664
05101,antioquia,ciudad-bolívar,1344.0,5.852,-76.01
05197,antioquia,cocorná,870.0,6.014,-75.15
05206,antioquia,concepción-antioquia,1280.0,6.397,-75.259
05209,antioquia,concordia-antioquia,323.0,6.069,-75.897
05120,antioquia,cáceres,118.545,7.696,-75.32
05234,antioquia,dabeiba,495.0,7.026,-76.304
05250,antioquia,el-bagre,278.429,7.631,-74.717
05264,antioquia,entrerrios,2770.5,6.598,-75.58
05282,antioquia,fredonia,969.667,5.856,-75.681
05284,antioquia,frontino,1267.75,6.804,-76.21
05306,antioquia,giraldo,15.0,6.694,-75.967
05308,antioquia,girardota,1600.0,6.368,-75.454
05313,antioquia,granada-antioquia,1905.0,6.14,-75.101
05318,antioquia,guarne,2400.0,6.283,-75.5
05310,antioquia,gómez-plata,1850.0,6.678,-75.22
05347,antioquia,heliconia,255.0,6.178,-75.705
05361,antioquia,ituango,1351.667,7.258,-75.695
05364,antioquia,jardín,912.5,5.586,-75.817
05368,antioquia,jericó-antioquia,1726.5,5.802,-75.757
05376,antioquia,la-ceja,2160.0,6.033,-75.4
05390,antioquia,la-pintada,860.0,5.783,-75.617
05400,antioquia,la-unión-antioquia,2469.0,5.942,-75.35
05411,antioquia,liborina,1250.0,6.721,-75.758
05440,antioquia,marinilla,2125.0,6.172,-75.333
05001,antioquia,medellín,1956.8,6.276,-75.612
05467,antioquia,montebello,560.0,5.951,-75.537
05475,antioquia,murindó,23.0,7.0,-76.75
05480,antioquia,mutatá,130.8,7.355,-76.555
05495,antioquia,nechí,81.429,8.052,-74.779
05490,antioquia,necoclí,33.0,8.486,-76.662
05501,antioquia,olaya,575.0,6.629,-75.811
05543,antioquia,peque,2440.0,7.033,-75.933
05541,antioquia,peñol,247.0,6.214,-75.241
05576,antioquia,pueblorrico,2100.0,5.791,-75.839
05579,antioquia,puerto-berrío,217.9,6.546,-74.433
05585,antioquia,puerto-nare,1309.333,6.212,-74.622
05591,antioquia,puerto-triunfo,144.5,5.938,-74.601
05604,antioquia,remedios,508.25,7.062,-74.72
05615,antioquia,rionegro-antioquia,1112.4,6.154,-75.379
05628,antioquia,sabanalarga-antioquia,1055.0,6.89,-75.791
05642,antioquia,salgar,2100.0,5.935,-75.861
68669,antioquia,san-andrés-antioquia,1895.0,6.928,-75.659
05649,antioquia,san-carlos-antioquia,792.0,6.197,-74.961
05652,antioquia,san-francisco-antioquia,1325.0,5.964,-75.101
05656,antioquia,san-jerónimo,943.333,6.441,-75.73
05658,antioquia,san-josé-de-la-montaña,2373.0,6.88,-75.672
05659,antioquia,san-juan-de-urabá,3.0,8.736,-76.508
05660,antioquia,san-luis-antioquia,980.0,5.998,-74.938
05665,antioquia,san-pedro-de-urabá,137.0,8.278,-76.391
05667,antioquia,san-rafael,525.333,6.344,-75.006
05670,antioquia,san-roque,1193.0,6.493,-74.906
05674,antioquia,san-vicente,1965.0,6.312,-75.254
05679,antioquia,santa-bárbara-antioquia,1680.0,5.86,-75.556
05042,antioquia,santa-fe-de-antioquia,767.6,6.485,-75.857
