departamento,municipio,altitud,latitud,longitud
Amazonas,La Chorrera,146.667,-0.996,-73.252
Amazonas,La Pedrera,104.8,-1.381,-69.806
Amazonas,Leticia,92.25,-4.203,-69.945
Amazonas,Mirití-Paraná (Campoamor),115.0,-1.365,-70.715
Amazonas,Puerto Alegría,135.0,-0.956,-74.025
Amazonas,Puerto Arica,115.0,-2.147,-71.752
Amazonas,Puerto Nariño,158.0,-3.78,-70.363
Amazonas,Santander (Araracuara),125.857,-0.842,-71.959
Antioquia,Abejorral,2450.0,5.786,-75.43
Antioquia,Abriaquí,1920.0,6.642,-76.075
Antioquia,Alejandría,1500.5,6.386,-75.098
Antioquia,Amalfi,1285.0,6.891,-75.038
Antioquia,Andes,1219.333,5.645,-75.885
Antioquia,Angostura,1902.5,6.876,-75.357
Antioquia,Anorí,768.222,7.226,-75.096
Antioquia,Anzá,488.75,6.355,-75.848
Antioquia,Apartadó,39.857,7.851,-76.649
Antioquia,Arboletes,4.5,8.753,-76.439
Antioquia,Armenia (Antioquia),1800.0,6.158,-75.772
Antioquia,Bello,1831.0,6.35,-75.571
Antioquia,Belmira,2420.0,6.694,-75.653
Antioquia,Betania,1550.0,5.728,-75.979
Antioquia,Betulia (Antioquia),395.0,6.214,-75.903
Antioquia,Briceño (Antioquia),949.0,7.086,-75.598
Antioquia,Buriticá,1024.0,6.798,-75.89
Antioquia,Caicedo,550.0,6.406,-75.981
Antioquia,Caldas (Antioquia),2041.0,6.049,-75.614
Antioquia,Campamento,480.0,7.203,-75.319
Antioquia,Caramanta,1140.333,5.56,-75.636
Antioquia,Carepa,31.833,7.777,-76.687
Antioquia,Carmen De Viboral,2235.0,6.012,-75.309
Antioquia,Carolina,1770.0,6.7,-75.267
Antioquia,Caucasia,57.125,7.973,-75.089
Antioquia,Cañasgordas,1247.0,6.754,-76.032
Antioquia,Chigorodó,41.714,7.659,-76.664
Antioquia,Ciudad Bolívar,1344.0,5.852,-76.01
Antioquia,Cocorná,870.0,6.014,-75.15
Antioquia,Concepción (Antioquia),1280.0,6.397,-75.259
Antioquia,Concordia (Antioquia),323.0,6.069,-75.897
Antioquia,Cáceres,118.545,7.696,-75.32
Antioquia,Dabeiba,495.0,7.026,-76.304
Antioquia,El Bagre,278.429,7.631,-74.717
Antioquia,Entrerrios,2770.5,6.598,-75.58
Antioquia,Fredonia,969.667,5.856,-75.681
Antioquia,Frontino,1267.75,6.804,-76.21
Antioquia,Giraldo,15.0,6.694,-75.967
Antioquia,Girardota,1600.0,6.368,-75.454
Antioquia,Granada (Antioquia),1905.0,6.14,-75.101
Antioquia,Guarne,2400.0,6.283,-75.5
Antioquia,Gómez Plata,1850.0,6.678,-75.22
Antioquia,Heliconia,255.0,6.178,-75.705
Antioquia,Ituango,1351.667,7.258,-75.695
Antioquia,Jardín,912.5,5.586,-75.817
Antioquia,Jericó (Antioquia),1726.5,5.802,-75.757
Antioquia,La Ceja,2160.0,6.033,-75.4
Antioquia,La Pintada,860.0,5.783,-75.617
Antioquia,La Unión (Antioquia),2469.0,5.942,-75.35
Antioquia,Liborina,1250.0,6.721,-75.758
Antioquia,Marinilla,2125.0,6.172,-75.333
Antioquia,Medellín,1956.8,6.276,-75.612
Antioquia,Montebello,560.0,5.951,-75.537
Antioquia,Murindó,23.0,7.0,-76.75
Antioquia,Mutatá,130.8,7.355,-76.555
Antioquia,Nechí,81.429,8.052,-74.779
Antioquia,Necoclí,33.0,8.486,-76.662
Antioquia,Olaya,575.0,6.629,-75.811
Antioquia,Peque,2440.0,7.033,-75.933
Antioquia,Peñol,247.0,6.214,-75.241
Antioquia,Pueblorrico,2100.0,5.791,-75.839
Antioquia,Puerto Berrío,217.9,6.546,-74.433
Antioquia,Puerto Nare,1309.333,6.212,-74.622
Antioquia,Puerto Triunfo,144.5,5.938,-74.601
Antioquia,Remedios,508.25,7.062,-74.72
Antioquia,Rionegro (Antioquia),1112.4,6.154,-75.379
Antioquia,Sabanalarga (Antioquia),1055.0,6.89,-75.791
Antioquia,Salgar,2100.0,5.935,-75.861
Antioquia,San Andrés (Antioquia),1895.0,6.928,-75.659
Antioquia,San Carlos (Antioquia),792.0,6.197,-74.961
Antioquia,San Francisco (Antioquia),1325.0,5.964,-75.101
Antioquia,San Jerónimo,943.333,6.441,-75.73
Antioquia,San José De La Montaña,2373.0,6.88,-75.672
Antioquia,San Juan De Urabá,3.0,8.736,-76.508
Antioquia,San Luis (Antioquia),980.0,5.998,-74.938
Antioquia,San Pedro De Urabá,137.0,8.278,-76.391
Antioquia,San Rafael,525.333,6.344,-75.006
Antioquia,San Roque,1193.0,6.493,-74.906
Antioquia,San Vicente,1965.0,6.312,-75.254
Antioquia,Santa Bárbara (Antioquia),1680.0,5.86,-75.556
Antioquia,Santa Fe De Antioquia,767.6,6.485,-75.857
Antioquia,Santa Rosa De Osos,2265.0,6.652,-75.319
Antioquia,Santo Domingo,1916.667,6.492,-75.148
Antioquia,Segovia,828.25,7.234,-74.735
Antioquia,Sonsón,1516.429,5.732,-75.001
Antioquia,Sopetrán,504.667,6.522,-75.789
Antioquia,Tarazá,220.0,7.488,-75.374
Antioquia,Titiribí,1032.5,6.045,-75.806
Antioquia,Turbo,44.467,7.952,-76.678
Antioquia,Támesis,879.0,5.734,-75.662
Antioquia,Uramita,650.0,6.874,-76.15
Antioquia,Urrao,1721.143,6.327,-76.146
Antioquia,Valdivia,86.667,7.306,-75.354
Antioquia,Valparaiso,505.0,5.717,-75.6
Antioquia,Vegachí,1023.333,6.796,-74.793
Antioquia,Venecia (Antioquia),1250.0,5.977,-75.828
Antioquia,Vigia Del Fuerte,19.333,6.441,-76.764
Antioquia,Yalí,970.0,6.64,-74.875
Antioquia,Yarumal,2484.25,6.927,-75.422
Antioquia,Yolombó,796.6,6.654,-75.038
Antioquia,Yondó (Casabe),107.375,6.877,-74.172
Antioquia,Zaragoza,145.0,7.462,-74.86
Arauca,Arauca,119.444,7.037,-70.607
Arauca,Arauquita,136.429,6.998,-71.266
Arauca,Cravo Norte,81.5,6.169,-69.917
Arauca,Saravena,803.429,6.851,-71.933
Arauca,Tame,610.8,6.319,-71.922
"Archipiélago de San Andres, Providencia y Santa Catalina",San Andres Y  Providencia (Santa Isabel),27.875,13.352,-81.379
"Archipiélago de San Andres, Providencia y Santa Catalina","San Andrés (Archipiélago de San Andrés, Providencia y Santa Catalina)",10.667,12.905,-81.511
Atlantico,Barranquilla,5.6,11.022,-74.803
Atlantico,Campo De La Cruz,4.0,10.377,-74.888
Atlantico,Candelaria (Atlántico),24.5,10.488,-74.889
Atlantico,Juan De Acosta,20.0,10.834,-75.04
Atlantico,Luruaco,20.0,10.439,-75.108
Atlantico,Manatí,12.5,10.455,-75.001
Atlantico,Piojó,80.0,10.722,-75.14
Atlantico,Polonuevo,80.0,10.779,-74.858
Atlantico,Ponedera,5.0,10.508,-74.822
Atlantico,Puerto Colombia (Atlántico),5.0,10.988,-74.97
Atlantico,Repelón,10.25,10.5,-75.123
Atlantico,Sabanalarga (Atlántico),93.333,10.604,-74.964
Atlantico,Santa Lucia,10.4,10.331,-74.976
Atlantico,Soledad,17.0,10.913,-74.773
Atlantico,Suan,8.0,10.282,-74.909
Atlantico,Tubará,200.0,10.955,-74.995
Bogotá,"Bogota, D.C",2621.033,4.603,-74.11
Bolívar,Achí,24.857,8.565,-74.563
Bolívar,Altos Del Rosario,24.0,8.812,-74.165
