codigo,municipio,clean,departamento
05001,Medellín,medellin,05
05002,Abejorral,abejorral,05
05004,Abriaquí,abriaqui,05
05021,Alejandría,alejandria,05
05030,Amagá,amaga,05
05031,Amalfi,amalfi,05
05034,Andes,andes,05
05036,Angelópolis,angelopolis,05
05038,Angostura,angostura,05
05040,Anorí,anori,05
05042,Santa Fé de Antioquia,santa_fe_de_antioquia,05
05044,Anzá,anza,05
05045,Apartadó,apartado,05
05051,Arboletes,arboletes,05
05055,Argelia,argelia,05
05059,Armenia,armenia,05
05079,Barbosa,barbosa,05
05086,Belmira,belmira,05
05088,Bello,bello,05
05091,Betania,betania,05
05093,Betulia,betulia,05
05101,Ciudad Bolívar,ciudad_bolivar,05
05107,Briceño,briceno,05
05113,Buriticá,buritica,05
05120,Cáceres,caceres,05
05125,Caicedo,caicedo,05
05129,Caldas,caldas,05
05134,Campamento,campamento,05
05138,Cañasgordas,canasgordas,05
05142,Caracolí,caracoli,05
05145,Caramanta,caramanta,05
05147,Carepa,carepa,05
05148,El Carmen De Viboral,el_carmen_de_viboral,05
05150,Carolina,carolina,05
05154,Caucasia,caucasia,05
05172,Chigorodó,chigorodo,05
05190,Cisneros,cisneros,05
05197,Cocorná,cocorna,05
05206,Concepción,concepcion,05
05209,Concordia,concordia,05
05212,Copacabana,copacabana,05
05234,Dabeiba,dabeiba,05
05237,Donmatías,donmatias,05
05240,Ebéjico,ebejico,05
05250,El Bagre,el_bagre,05
05264,Entrerríos,entrerrios,05
05266,Envigado,envigado,05
05282,Fredonia,fredonia,05
05284,Frontino,frontino,05
05306,Giraldo,giraldo,05
05308,Girardota,girardota,05
05310,Gómez Plata,gomez_plata,05
05313,Granada,granada,05
05315,Guadalupe,guadalupe,05
05318,Guarne,guarne,05
05321,Guatapé,guatape,05
05347,Heliconia,heliconia,05
05353,Hispania,hispania,05
05360,Itagüí,itagüi,05
05361,Ituango,ituango,05
05364,Jardín,jardin,05
05368,Jericó,jerico,05
05376,La Ceja,la_ceja,05
05380,La Estrella,la_estrella,05
05390,La Pintada,la_pintada,05
05400,La Unión,la_union,05
05411,Liborina,liborina,05
05425,Maceo,maceo,05
05440,Marinilla,marinilla,05
05467,Montebello,montebello,05
05475,Murindó,murindo,05
05480,Mutatá,mutata,05
05483,Nariño,narino,05
05490,Necoclí,necocli,05
05495,Nechí,nechi,05
05501,Olaya,olaya,05
05541,Peñol,penol,05
05543,Peque,peque,05
05576,Pueblorrico,pueblorrico,05
05579,Puerto Berrío,puerto_berrio,05
05585,Puerto Nare,puerto_nare,05
05591,Puerto Triunfo,puerto_triunfo,05
05604,Remedios,remedios,05
05607,Retiro,retiro,05
05615,Rionegro,rionegro,05
05628,Sabanalarga,sabanalarga,05
05631,Sabaneta,sabaneta,05
05642,Salgar,salgar,05
05647,San Andrés De Cuerquía,san_andres_de_cuerquia,05
05649,San Carlos,san_carlos,05
05652,San Francisco,san_francisco,05
05656,San Jerónimo,san_jeronimo,05
05658,San José De La Montaña,san_jose_de_la_montana,05
05659,San Juan De Urabá,san_juan_de_uraba,05
05660,San Luis,san_luis,05
05664,San Pedro De Los Milagros,san_pedro_de_los_milagros,05
05665,San Pedro De Urabá,san_pedro_de_uraba,05
05667,San Rafael,san_rafael,05
05670,San Roque,san_roque,05
05674,San Vicente Ferrer,san_vicente_ferrer,05
05679,Santa Bárbara,santa_barbara,05
05686,Santa Rosa De Osos,santa_rosa_de_osos,05
05690,Santo Domingo,santo_domingo,05
05697,El Santuario,el_santuario,05
05736,Segovia,segovia,05
05756,Sonsón,sonson,05
05761,Sopetrán,sopetran,05
05789,Támesis,tamesis,05
05790,Tarazá,taraza,05
05792,Tarso,tarso,05
05809,Titiribí,titiribi,05
05819,Toledo,toledo,05
05837,Turbo,turbo,05
05842,Uramita,uramita,05
05847,Urrao,urrao,05
05854,Valdivia,valdivia,05
05856,Valparaíso,valparaiso,05
05858,Vegachí,vegachi,05
05861,Venecia,venecia,05
05873,Vigía Del Fuerte,vigia_del_fuerte,05
05885,Yalí,yali,05
05887,Yarumal,yarumal,05
05890,Yolombó,yolombo,05
05893,Yondó,yondo,05
05895,Zaragoza,zaragoza,05
08001,Barranquilla,barranquilla,08
08078,Baranoa,baranoa,08
08137,Campo De La Cruz,campo_de_la_cruz,08
08141,Candelaria,candelaria,08
08296,Galapa,galapa,08
08372,Juan De Acosta,juan_de_acosta,08
08421,Luruaco,luruaco,08
08433,Malambo,malambo,08
08436,Manatí,manati,08
08520,Palmar De Varela,palmar_de_varela,08
08549,Piojó,piojo,08
08558,Polonuevo,polonuevo,08
08560,Ponedera,ponedera,08
08573,Puerto Colombia,puerto_colombia,08
08606,Repelón,repelon,08
08634,Sabanagrande,sabanagrande,08
08638,Sabanalarga,sabanalarga,08
08675,Santa Lucía,santa_lucia,08
08685,Santo Tomás,santo_tomas,08
08758,Soledad,soledad,08
08770,Suan,suan,08
08832,Tubará,tubara,08
08849,Usiacurí,usiacuri,08
11001,Bogotá D.C.,bogota_d.c.,11
13001,Cartagena De Indias,cartagena_de_indias,13
13006,Achí,achi,13
13030,Altos Del Rosario,altos_del_rosario,13
13042,Arenal,arenal,13
13052,Arjona,arjona,13
13062,Arroyohondo,arroyohondo,13
13074,Barranco De Loba,barranco_de_loba,13
13140,Calamar,calamar,13
13160,Cantagallo,cantagallo,13
13188,Cicuco,cicuco,13
13212,Córdoba,cordoba,13
13222,Clemencia,clemencia,13
